ProductKey;category;subcategory;model
1;NULL;NULL;NULL
2;NULL;NULL;NULL
3;NULL;NULL;NULL
4;NULL;NULL;NULL
316;NULL;NULL;NULL
317;NULL;NULL;NULL
318;NULL;NULL;NULL
319;NULL;NULL;NULL
320;NULL;NULL;NULL
321;NULL;NULL;NULL
322;NULL;NULL;NULL
323;NULL;NULL;NULL
324;NULL;NULL;NULL
325;NULL;NULL;NULL
326;NULL;NULL;NULL
327;NULL;NULL;NULL
328;NULL;NULL;NULL
329;NULL;NULL;NULL
330;NULL;NULL;NULL
331;NULL;NULL;NULL
332;NULL;NULL;NULL
341;NULL;NULL;NULL
342;NULL;NULL;NULL
343;NULL;NULL;NULL
344;NULL;NULL;NULL
345;NULL;NULL;NULL
346;NULL;NULL;NULL
347;NULL;NULL;NULL
348;NULL;NULL;NULL
349;NULL;NULL;NULL
350;NULL;NULL;NULL
351;NULL;NULL;NULL
352;NULL;NULL;NULL
355;NULL;NULL;NULL
356;NULL;NULL;NULL
357;NULL;NULL;NULL
358;NULL;NULL;NULL
359;NULL;NULL;NULL
360;NULL;NULL;NULL
361;NULL;NULL;NULL
362;NULL;NULL;NULL
363;NULL;NULL;NULL
364;NULL;NULL;NULL
365;NULL;NULL;NULL
366;NULL;NULL;NULL
367;NULL;NULL;NULL
368;NULL;NULL;NULL
369;NULL;NULL;NULL
370;NULL;NULL;NULL
371;NULL;NULL;NULL
372;NULL;NULL;NULL
373;NULL;NULL;NULL
374;NULL;NULL;NULL
375;NULL;NULL;NULL
376;NULL;NULL;NULL
377;NULL;NULL;NULL
378;NULL;NULL;NULL
379;NULL;NULL;NULL
380;NULL;NULL;NULL
381;NULL;NULL;NULL
382;NULL;NULL;NULL
383;NULL;NULL;NULL
384;NULL;NULL;NULL
385;NULL;NULL;NULL
386;NULL;NULL;NULL
387;NULL;NULL;NULL
388;NULL;NULL;NULL
389;NULL;NULL;NULL
390;NULL;NULL;NULL
391;NULL;NULL;NULL
392;NULL;NULL;NULL
393;NULL;NULL;NULL
394;NULL;NULL;NULL
395;NULL;NULL;NULL
396;NULL;NULL;NULL
397;NULL;NULL;NULL
398;NULL;NULL;NULL
399;NULL;NULL;NULL
